UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),SN T/O,SN C/O,SN App,SN Idle,SN Max,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg)
1AS001,Allied Signal,TFE731-2-2B,,TF,2.64,13.9,15.6,0.205,0.173,0.067,0.024,15.25,13.08,5.9,2.82,1.394,2.03,22.38,58.6,0.114,0.128,4.26,20.04,,,,,,96.7,98.1,285.0,288.0,0.0066,0.0087
1AS002,Allied Signal,TFE731-3,,TF,2.64,14.3,16.5,0.225,0.186,0.072,0.026,19.15,16.02,6.92,3.72,1.13,1.62,15.56,47.7,0.062,0.072,1.41,9.04,,,,,,97.0,97.3,294.0,313.0,0.0039,0.0073
4AL003,Rolls-Royce Corporation,AE3007A,,MTF,5.23,18.08,33.73,0.377,0.315,0.117,0.049,20.54,17.47,7.79,3.83,0.75,0.92,3.28,17.35,0.25,0.29,0.64,2.51,1.0,0.0,0.0,0.0,1.0,101.3,101.3,288.0,288.0,0.0063,0.0063
6AL004,Rolls-Royce Corporation,AE3007C1,,MTF,5.1,16.6,31.5,0.322,0.269,0.099,0.042,17.9,15.35,7.05,3.37,0.87,1.07,3.96,26.04,0.24,0.28,0.66,4.84,1.0,0.0,0.0,0.0,1.0,101.3,101.3,288.0,288.0,0.0063,0.0063
6AL005,Rolls-Royce Corporation,AE3007A1,Type 1,MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,19.66,16.63,7.1,3.47,0.77,0.96,3.91,23.73,0.221,0.257,0.655,3.818,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL006,Rolls-Royce Corporation,AE3007A1,Type 2,MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,22.41,19.58,7.2,3.19,0.12,0.01,1.36,32.59,0.0,0.0,0.18,5.04,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
4AL002,Rolls-Royce Corporation,AE3007A1 series,,MTF,4.76,17.81,33.73,0.38,0.319,0.117,0.05,19.78,16.84,7.22,3.52,0.79,0.97,3.8,22.43,0.26,0.3,0.72,3.1,1.0,0.0,0.0,0.0,1.0,101.3,101.3,288.0,288.0,0.0063,0.0063
6AL007,Rolls-Royce Corporation,AE3007A1,Type 3 (reduced emissions),MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,16.17,14.07,7.13,4.17,0.75,0.56,6.72,39.91,0.03,0.03,0.03,3.85,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
6AL008,Rolls-Royce Corporation,AE3007A1/1,Type 1,MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,19.57,16.55,7.07,3.46,0.77,0.97,3.93,23.95,0.222,0.258,0.658,3.92,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL009,Rolls-Royce Corporation,AE3007A1/1,Type 2,MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,22.31,19.49,7.16,3.19,0.0,0.0,1.4,32.84,0.0,0.0,0.18,5.1,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
6AL010,Rolls-Royce Corporation,AE3007A1/1,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,16.1,14.01,7.12,4.17,0.74,0.55,6.8,40.07,0.03,0.03,0.03,3.88,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
6AL011,Rolls-Royce Corporation,AE3007A1/3,Type 1,MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,18.55,15.81,6.83,3.39,0.83,1.03,4.21,25.58,0.233,0.269,0.689,4.64,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL012,Rolls-Royce Corporation,AE3007A1/3,Type 2,MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,21.26,18.62,6.84,3.29,0.0,0.0,1.83,32.4,0.0,0.0,0.21,5.23,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
6AL013,Rolls-Royce Corporation,AE3007A1/3,Type 3 (reduced emissions),MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,15.42,13.49,6.93,4.27,0.5,0.5,7.62,38.47,0.03,0.03,0.03,3.81,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
6AL014,Rolls-Royce Corporation,AE3007A1P,Type 1,MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,19.57,16.56,7.07,3.47,0.77,0.97,3.93,23.8,0.222,0.258,0.658,3.85,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL015,Rolls-Royce Corporation,AE3007A1P,Type 2,MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,22.02,19.16,6.89,3.19,0.0,0.0,1.51,32.68,0.0,0.0,0.19,5.06,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
6AL016,Rolls-Royce Corporation,AE3007A1P,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,16.1,14.01,7.12,4.17,0.74,0.55,6.79,39.97,0.03,0.03,0.03,3.86,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
10AL026,Rolls-Royce Corporation,AE3007A2,Type 3 (reduced emissions),MTF,4.79,20.2,42.23,0.466,0.388,0.138,0.055,18.61,15.99,7.9,4.39,0.71,0.74,4.08,34.17,0.0,0.0,0.0,1.71,0.01,0.01,0.01,0.01,0.01,101.3,101.3,294.0,294.0,0.009,0.012
6AL017,Rolls-Royce Corporation,AE3007A3,Type 1,MTF,4.72,17.2,33.0,0.3583,0.2995,0.1076,0.0448,18.52,15.79,6.83,3.38,0.83,1.03,4.22,25.73,0.233,0.27,0.69,4.705,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL018,Rolls-Royce Corporation,AE3007A3,Type 2,MTF,4.72,17.2,33.0,0.3583,0.2995,0.1076,0.0448,20.93,18.27,6.56,3.18,0.0,0.0,2.0,34.86,0.0,0.0,0.23,5.65,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
6AL019,Rolls-Royce Corporation,AE3007A3,Type 3 (reduced emissions),MTF,4.72,17.2,33.0,0.3583,0.2995,0.1076,0.0448,15.4,13.48,6.93,4.12,0.5,0.5,7.65,41.29,0.03,0.03,0.03,4.1,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
3AL001,Rolls-Royce Corporation,AE3007C,,MTF,5.3,16.2,28.6,0.28,0.234,0.091,0.039,16.92,14.56,6.63,3.24,0.97,1.19,4.5,29.88,0.29,0.33,0.83,5.84,1.0,0.0,0.0,0.0,1.0,101.3,101.3,288.0,288.0,0.0063,0.0063
6AL020,Rolls-Royce Corporation,AE3007A1E,Type 3,MTF,4.72,19.06,37.16,0.4122,0.3425,0.12,0.0475,17.17,14.91,7.42,4.26,0.77,0.64,5.63,37.97,0.03,0.03,0.03,3.52,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
6AL021,Rolls-Royce Corporation,AE3007C,Type 1,MTF,5.2,15.8,29.62,0.301,0.2527,0.0943,0.0377,16.88,14.57,6.78,3.36,0.94,1.16,4.28,26.32,0.254,0.291,0.696,4.953,1.0,0.01,0.01,0.01,0.0,,,,,,
8AL025,Rolls-Royce Corporation,AE3007C,Type 1,MTF,5.2,15.8,29.62,0.301,0.2527,0.0943,0.0377,16.88,14.57,6.78,3.36,0.94,1.16,4.28,26.32,0.254,0.291,0.696,4.953,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL022,Rolls-Royce Corporation,AE3007C,Type 2,MTF,5.2,15.8,29.62,0.301,0.2527,0.0943,0.0377,19.36,17.01,6.62,3.2,0.0,0.0,2.02,35.07,0.0,0.01,0.23,5.75,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
6AL023,Rolls-Royce Corporation,AE3007C1,Type 1,MTF,5.1,16.58,31.46,0.3222,0.2689,0.0991,0.0418,17.9,15.35,7.05,3.37,0.87,1.07,3.96,26.04,0.24,0.277,0.661,4.837,1.0,0.01,0.01,0.01,1.0,,,,,,
6AL024,Rolls-Royce Corporation,AE3007C1,Type 2,MTF,5.1,16.58,31.46,0.3222,0.2689,0.0991,0.0418,20.2,17.6,6.71,3.14,0.0,0.0,1.62,36.04,0.0,0.01,0.21,5.88,0.01,0.01,0.01,0.01,0.01,99.6,99.7,297.0,301.0,0.0115,0.0141
13AL027,Rolls-Royce Corporation,AE3007C2,Type 2,MTF,4.99,17.44,32.73,0.3263,0.2714,0.0985,0.0472,21.25,18.11,6.56,3.14,0.0,0.0,1.97,23.09,0.0,0.01,0.22,2.57,0.01,0.01,0.01,0.01,0.01,101.3,101.3,294.0,294.0,0.009,0.012
01P06AL028,Rolls-Royce Corporation,AE3007A1,Type 3 (reduced emissions),MTF,4.77,17.97,34.91,0.3826,0.318,0.113,0.0461,16.17,14.07,7.13,4.17,0.75,0.56,6.72,39.91,0.03,0.03,0.03,3.85,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
01P06AL029,Rolls-Royce Corporation,AE3007A1/1,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,0.3805,0.3163,0.1125,0.0459,16.1,14.01,7.12,4.17,0.74,0.55,6.8,40.07,0.03,0.03,0.03,3.88,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
01P06AL030,Rolls-Royce Corporation,AE3007A1/3,Type 3 (reduced emissions),MTF,4.81,17.22,33.05,0.3589,0.2999,0.1077,0.0449,15.42,13.49,6.93,4.27,0.5,0.5,7.62,38.47,0.03,0.03,0.03,3.81,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
01P06AL031,Rolls-Royce Corporation,AE3007A1P,Type 3 (reduced emissions),MTF,4.77,17.9,34.74,0.3806,0.3163,0.1126,0.046,16.1,14.01,7.12,4.17,0.74,0.55,6.79,39.97,0.03,0.03,0.03,3.86,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
01P06AL032,Rolls-Royce Corporation,AE3007A1E,Type 3 (reduced emissions),MTF,4.72,19.06,37.16,0.4122,0.3425,0.12,0.0475,17.17,14.91,7.42,4.26,0.77,0.64,5.63,37.97,0.03,0.03,0.03,3.52,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
01P10AL033,Rolls-Royce Corporation,AE3007A2,Type 3 (reduced emissions),MTF,4.79,20.2,42.23,0.466,0.388,0.138,0.055,18.61,15.99,7.9,4.39,0.71,0.74,4.08,34.17,0.0,0.0,0.0,1.71,0.01,0.01,0.01,0.01,0.01,101.3,101.3,294.0,294.0,0.009,0.012
01P06AL034,Rolls-Royce Corporation,AE3007A3,Type 3 (reduced emissions),MTF,4.72,17.2,33.0,0.3583,0.2995,0.1076,0.0448,15.4,13.48,6.93,4.12,0.5,0.5,7.65,41.29,0.03,0.03,0.03,4.1,0.01,0.01,0.01,0.01,0.01,98.9,99.0,291.0,301.0,0.009,0.012
1AA001,Aviadvigatel,D-30 (Il series),,MTF,0.85,18.4,66.64,1.15,0.975,0.35,0.13,19.1,16.3,7.0,3.6,2.7,3.2,14.5,60.3,0.12,0.14,1.5,43.6,33.0,35.0,27.0,8.0,35.0,103.0,103.0,293.0,293.0,0.01048,0.01048
1AA002,Aviadvigatel,D-30KP-2,,MTF,2.2,19.45,117.6,1.67,1.42,0.49,0.21,16.5,13.5,6.3,3.3,2.2,2.8,15.4,62.4,0.7,0.8,2.7,13.3,17.5,19.5,16.0,6.5,19.5,102.7,103.1,284.0,289.0,0.00748,0.00748
1AA003,Aviadvigatel,D-30KU,,MTF,2.35,17.4,112.7,1.52,1.3,0.5,0.215,16.3,12.6,5.1,2.7,2.8,3.7,11.8,54.0,0.3,0.4,1.2,10.5,,,,,22.9,102.6,102.7,292.0,294.0,0.00788,0.00788
1AA004,Aviadvigatel,D-30KU-154,,MTF,2.3,17.0,107.5,1.42,1.1,0.42,0.207,14.5,11.6,5.1,2.9,3.0,3.6,18.2,77.7,0.4,0.5,1.9,12.7,,,,,,102.3,102.6,289.0,291.0,0.01119,0.01119
1AA005,Aviadvigatel,PS-90A,,MTF,5.0,30.85,156.9,1.739,1.431,0.489,0.178,37.0,31.5,11.8,5.8,0.35,0.4,0.9,6.9,0.12,0.12,0.2,0.3,,,,,13.0,102.9,104.0,281.0,285.0,0.00348,0.00607
13AA006,Aviadvigatel,PS-90A,94-03-809,MTF,4.48,30.8,154.6,1.532,1.279,0.511,0.1675,30.52,23.33,8.96,4.92,0.41,0.45,1.2,15.18,0.1,0.13,0.79,1.32,6.75,7.82,5.06,0.23,7.82,97.84,98.68,289.2,294.8,0.00595,0.01297
13AA007,Aviadvigatel,PS-90A1,194-03-800,MTF,4.36,33.79,169.7,1.654,1.354,0.533,0.174,35.69,26.68,9.88,4.92,0.38,0.4,1.07,12.91,0.1,0.1,0.16,0.72,14.1,16.005,13.17,0.56,16.005,97.84,100.75,284.0,297.5,0.00595,0.01015
13AA008,Aviadvigatel,PS-90A2,93-03-800,MTF,4.32,31.23,156.95,1.38,1.117,0.491,0.171,32.7,25.52,9.31,4.3,0.44,0.65,1.91,16.79,0.11,0.14,0.21,2.88,15.45,16.24,12.12,1.17,16.24,97.8,101.0,275.0,297.5,0.00267,0.0129
3BR001,Rolls-Royce Deutschland,BR700-710A1-10,,MTF,4.2,24.31,65.61,0.707,0.588,0.22,0.089,17.07,13.93,8.2,4.0,0.52,0.66,4.24,26.09,0.0,0.03,0.04,1.98,11.03,8.69,0.0,0.17,11.03,101.5,102.1,291.2,300.3,0.0074,0.0087
4BR008,Rolls-Royce Deutschland,BR700-710A1-10,,MTF,4.2,24.23,65.61,0.713,0.594,0.214,0.089,18.79,15.07,7.68,4.69,1.04,0.93,4.78,27.82,0.02,0.02,0.05,1.09,13.99,11.92,0.29,0.56,13.99,100.9,101.2,282.9,286.7,0.0064,0.0087
4BR009,Rolls-Royce Deutschland,BR700-710A2-20,,MTF,4.19,24.16,65.61,0.714,0.595,0.214,0.089,18.73,15.03,7.67,4.67,1.04,0.93,4.81,28.0,0.02,0.02,0.05,1.12,13.96,11.87,0.27,0.57,13.96,100.9,101.2,282.9,286.7,0.0064,0.0087
6BR010,Rolls-Royce Deutschland,BR700-710C4-11,Annular,MTF,4.05,24.95,68.77,0.747,0.617,0.215,0.083,19.52,15.43,7.71,4.5,1.04,0.92,4.92,31.57,0.02,0.02,0.05,2.29,14.34,12.36,0.35,0.45,14.34,100.9,101.2,282.9,286.7,0.0064,0.0087
4BR002,Rolls-Royce Deutschland,BR700-715A1-30,,MTF,4.66,28.98,84.16,0.836,0.69,0.245,0.096,23.97,18.65,11.19,5.37,0.78,0.75,3.76,16.27,0.0,0.02,0.01,0.21,3.24,2.73,0.97,0.91,3.24,101.3,101.9,288.8,294.4,0.0066,0.0079
4BR005,Rolls-Royce Deutschland,BR700-715A1-30,Improved fuel injector,MTF,4.68,28.75,83.23,0.831,0.686,0.24,0.1,20.97,16.43,8.75,3.95,0.66,0.63,4.05,19.72,0.05,0.06,0.02,0.11,4.33,3.96,0.77,0.11,4.33,100.9,101.3,294.4,297.2,0.0072,0.0075
4BR003,Rolls-Royce Deutschland,BR700-715B1-30,,MTF,4.6,30.47,89.68,0.905,0.743,0.259,0.098,27.21,20.34,11.38,5.54,0.78,0.76,3.38,15.56,0.0,0.01,0.0,0.17,3.55,2.9,1.03,0.89,3.55,101.3,101.9,288.8,294.4,0.0066,0.0079
4BR006,Rolls-Royce Deutschland,BR700-715B1-30,Improved fuel injector,MTF,4.6,30.58,89.68,0.91,0.75,0.257,0.103,24.28,18.27,9.01,4.14,0.72,0.63,3.59,18.6,0.03,0.06,0.02,0.07,4.56,4.13,0.96,0.07,4.56,100.9,101.3,294.4,297.2,0.0072,0.0075
4BR004,Rolls-Royce Deutschland,BR700-715C1-30,,MTF,4.55,32.01,95.33,0.98,0.799,0.273,0.101,31.39,22.41,11.55,5.72,0.75,0.78,3.06,14.86,0.0,0.0,0.0,0.14,3.98,3.09,1.09,0.87,3.98,101.3,101.9,288.8,294.4,0.0066,0.0079
4BR007,Rolls-Royce Deutschland,BR700-715C1-30,Improved fuel injector,MTF,4.54,32.15,95.33,0.984,0.805,0.272,0.105,27.92,20.05,9.23,4.28,0.8,0.64,3.23,17.85,0.01,0.06,0.02,0.06,4.86,4.26,1.12,0.04,4.86,100.9,101.3,294.4,297.2,0.0072,0.0075
11BR011,Rolls-Royce Deutschland,BR700-725A1-12,Z-ring,MTF,4.35,26.16,75.7,0.789,0.65,0.221,0.085,16.92,13.32,7.81,3.38,0.4,0.32,5.93,41.9,0.0,0.0,0.0,3.0,4.15,4.46,0.0,0.15,4.47,100.5,101.0,294.7,297.9,0.0076,0.00815
20BR012,Rolls-Royce Deutschland,BR700-710D5-21,Phase5 Tiled,MTF,4.62,33.14,68.43,0.682,0.564,0.197,0.08,26.63,20.2,9.11,3.07,0.32,0.63,2.84,34.97,0.02,0.0,0.01,2.13,2.85,3.54,1.92,1.7,3.94,100.4,102.0,279.9,287.8,0.00539,0.00777
01P04BR013,Rolls-Royce Deutschland,BR700-710A2-20,,MTF,4.19,24.16,65.61,0.714,0.595,0.214,0.089,18.73,15.03,7.67,4.67,1.04,0.93,4.81,28.0,0.02,0.02,0.05,1.12,13.96,11.87,0.27,0.57,13.96,100.9,101.2,282.9,286.7,0.0064,0.0087
01P06BR014,Rolls-Royce Deutschland,BR700-710C4-11,Annular,MTF,4.05,24.95,68.77,0.747,0.617,0.215,0.083,19.52,15.43,7.71,4.5,1.04,0.92,4.92,31.57,0.02,0.02,0.05,2.29,14.34,12.36,0.35,0.45,14.34,100.9,101.2,282.9,286.7,0.0064,0.0087
01P20BR015,Rolls-Royce Deutschland,BR700-710D5-21,Phase5 Tiled,MTF,4.62,33.14,68.43,0.682,0.564,0.197,0.08,26.63,20.2,9.11,3.07,0.32,0.63,2.84,34.97,0.02,0.0,0.01,2.13,2.85,3.54,1.92,1.7,3.94,100.4,102.0,279.9,287.8,0.00539,0.00777
01P11BR016,Rolls-Royce Deutschland,BR700-725A1-12,Z-ring,MTF,4.35,26.16,75.7,0.789,0.65,0.221,0.085,16.92,13.32,7.81,3.38,0.4,0.32,5.93,41.9,0.0,0.0,0.0,3.0,4.15,4.46,0.0,0.15,4.47,100.5,101.0,294.7,297.9,0.0076,0.00815
06P26RR149,Rolls-Royce Deutschland,BR700-730B2-14,Advanced Rich Burn,MTF,5.377,35.533,81.65,0.7865,0.646,0.2126,0.0809,30.392,22.542,9.766,3.338,0.4056,0.468,2.438,22.216,0.0,0.0,0.0,0.277,1.94,3.0904,2.25,1.161,4.956,100.4,101.8,288.4,299.7,0.00736,0.00883
1CM001,CFM International,CFM56-2A series,,TF,6.0,25.2,106.76,1.114,0.911,0.318,0.13,20.4,17.3,8.7,4.3,0.9,0.9,3.4,23.5,0.04,0.04,0.08,1.13,7.9,4.2,2.5,2.0,7.9,95.98,97.49,279.0,286.0,0.002,0.009
1CM002,CFM International,CFM56-2B-1,,TF,6.0,23.5,97.86,0.985,0.819,0.311,0.128,18.5,16.0,8.2,4.0,0.9,0.9,4.2,30.7,0.04,0.05,0.08,1.83,6.0,3.0,2.6,2.2,6.0,95.98,97.49,279.0,286.0,0.002,0.009
1CM003,CFM International,CFM56-2-C5,,TF,6.0,23.5,97.86,0.985,0.819,0.311,0.128,18.5,16.0,8.2,4.0,0.9,0.9,4.2,30.7,0.04,0.05,0.08,1.83,6.0,3.0,2.6,2.2,6.0,95.98,97.49,279.0,286.0,0.002,0.009
1CM004,CFM International,CFM56-3-B1,,TF,5.1,22.44,89.41,0.946,0.792,0.29,0.114,17.7,15.5,8.3,3.9,0.9,0.95,3.8,34.4,0.04,0.05,0.08,2.28,4.0,2.5,2.5,2.2,4.0,95.98,97.49,279.0,286.0,0.002,0.009
1CM005,CFM International,CFM56-3B-2,,TF,5.1,24.1,98.3,1.056,0.878,0.314,0.119,19.4,16.7,8.7,4.1,0.9,0.9,3.4,30.1,0.036,0.047,0.073,1.75,6.0,3.0,2.5,2.2,6.0,95.98,97.49,279.0,286.0,0.002,0.009
1CM007,CFM International,CFM56-3C-1,,TF,5.1,25.5,104.6,1.154,0.954,0.336,0.124,20.7,17.8,9.1,4.3,0.9,0.9,3.1,26.8,0.03,0.04,0.07,1.42,7.7,3.9,2.5,2.3,7.7,95.98,97.49,279.0,286.0,0.002,0.009
1CM006,CFM International,CFM56-3C-1 (Rerated),,TF,5.1,21.3,82.29,0.872,0.732,0.273,0.111,16.6,14.7,8.0,3.8,0.9,1.0,4.2,38.1,0.05,0.05,0.08,2.86,3.0,2.4,2.5,2.1,3.0,95.98,97.49,279.0,286.0,0.002,0.009
1CM008,CFM International,CFM56-5-A1,,TF,6.0,26.6,111.2,1.051,0.862,0.291,0.1011,24.6,19.6,8.0,4.0,0.9,0.9,2.5,17.6,0.23,0.23,0.4,1.4,15.8,14.0,4.4,2.3,15.8,94.7,95.6,280.0,291.0,0.0026,0.0034
1CM009,CFM International,CFM56-5A3,,TF,6.0,27.9,117.88,1.131,0.925,0.307,0.1044,26.4,21.1,8.3,4.1,0.9,0.9,2.4,16.2,0.2,0.2,0.3,1.3,16.8,14.6,4.8,2.7,16.8,94.7,95.6,280.0,291.0,0.0026,0.0034
4CM035,CFM International,CFM56-5A4,,TF,6.0,23.8,97.89,0.897,0.74,0.261,0.095,22.64,19.11,8.51,4.04,1.1,1.1,3.1,20.3,0.23,0.23,0.5,1.75,13.9,11.6,4.2,2.4,13.9,94.7,95.6,280.0,291.0,0.0026,0.0034
4CM036,CFM International,CFM56-5A5,,TF,6.0,25.1,104.53,0.972,0.799,0.276,0.098,24.79,19.98,8.94,4.29,1.1,1.1,2.8,18.5,0.23,0.23,0.45,1.53,14.3,12.6,4.4,2.4,14.3,94.7,95.6,280.0,291.0,0.0026,0.0034
2CM012,CFM International,CFM56-5B1,,TF,5.7,30.2,133.45,1.359,1.113,0.364,0.117,35.1,27.2,10.8,4.6,0.5,0.5,1.57,28.4,0.1,0.1,0.12,3.21,8.6,10.5,0.0,0.0,10.5,97.49,98.18,283.4,293.9,0.0067,0.0076
2CM016,CFM International,CFM56-5B1/2,DAC,TF,5.7,30.2,133.45,1.345,1.104,0.369,0.129,27.75,14.91,7.02,4.73,0.6,2.5,38.4,34.0,0.1,0.1,9.1,1.7,0.5,0.5,2.3,3.5,4.75,100.67,101.01,293.0,299.0,0.0114,0.0129
3CM020,CFM International,CFM56-5B1/2P,DAC-II,TF,5.7,30.5,133.5,1.32,1.07,0.37,0.12,23.3,16.4,7.3,4.1,0.8,1.9,23.1,36.5,0.1,0.1,3.7,2.9,0.5,0.3,0.5,2.1,2.1,98.5,99.74,284.6,292.4,0.0081,0.0115
8CM052,CFM International,CFM56-5B1/3,Tech Insertion,TF,5.5,30.2,133.4,1.318,1.063,0.347,0.109,26.18,19.77,9.28,4.45,0.38,0.2,2.53,27.92,0.03,0.02,0.05,1.37,14.9,12.9,2.1,2.1,14.9,97.6,98.5,277.0,293.0,0.0015,0.00628
3CM023,CFM International,CFM56-5B1/P,,TF,5.7,30.47,133.45,1.295,1.058,0.345,0.11,33.0,26.2,10.7,4.5,0.9,0.9,2.0,19.8,0.1,0.2,0.5,3.7,4.9,5.2,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
2CM013,CFM International,CFM56-5B2,,TF,5.6,31.3,137.9,1.426,1.158,0.376,0.119,37.8,28.5,11.0,4.7,0.5,0.5,1.4,27.4,0.1,0.1,0.12,3.04,8.2,10.1,0.0,0.0,10.1,97.49,98.18,283.4,293.9,0.0067,0.0076
2CM017,CFM International,CFM56-5B2/2,DAC,TF,5.7,31.2,137.9,1.406,1.132,0.377,0.131,29.57,15.86,7.24,4.82,0.4,1.7,35.8,33.7,0.1,0.1,8.4,1.7,0.5,0.5,2.3,3.5,4.75,100.67,101.01,293.0,299.0,0.0114,0.0129
4CM037,CFM International,CFM56-5B2/2P,DAC-II,TF,5.6,31.6,137.9,1.39,1.11,0.39,0.13,29.4,17.5,7.6,4.2,0.7,1.6,21.4,35.5,0.1,0.1,3.3,2.7,0.5,0.3,0.5,2.2,2.15,98.5,99.74,284.6,292.4,0.0081,0.0115
8CM053,CFM International,CFM56-5B2/3,Tech Insertion,TF,5.5,31.3,137.9,1.385,1.107,0.358,0.111,28.26,20.76,9.42,4.53,0.45,0.23,2.33,26.72,0.04,0.02,0.05,1.22,15.5,13.1,2.1,2.1,15.5,97.6,98.5,277.0,293.0,0.0015,0.00628
3CM024,CFM International,CFM56-5B2/P,,TF,5.6,31.57,137.9,1.361,1.099,0.356,0.113,35.1,27.4,10.9,4.6,0.8,0.9,1.9,19.5,0.1,0.2,0.5,3.6,4.8,5.1,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
4CM038,CFM International,CFM56-5B3/2P,DAC-II,TF,5.6,32.8,142.4,1.47,1.15,0.4,0.13,32.0,18.6,7.8,4.3,0.6,1.3,19.9,34.5,0.1,0.1,2.9,2.5,0.5,0.3,0.5,2.3,2.25,98.5,99.74,284.6,292.4,0.0081,0.0115
8CM054,CFM International,CFM56-5B3/3,Tech Insertion,TF,5.4,32.6,142.3,1.462,1.153,0.369,0.113,30.9,21.83,9.56,4.6,0.54,0.25,2.14,25.59,0.05,0.02,0.05,1.1,16.0,13.4,2.1,2.1,16.0,97.6,98.5,277.0,293.0,0.0015,0.00628
3CM025,CFM International,CFM56-5B3/P,,TF,5.6,32.78,142.35,1.43,1.141,0.366,0.115,37.3,28.5,11.2,4.7,0.8,0.9,1.7,19.2,0.1,0.2,0.5,3.5,4.7,5.1,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
2CM014,CFM International,CFM56-5B4,,TF,5.9,27.1,117.9,1.166,0.961,0.326,0.107,28.7,23.3,10.0,4.3,0.5,0.5,2.33,31.9,0.1,0.1,0.13,3.87,10.0,11.7,0.0,0.0,11.7,97.49,98.18,283.4,293.9,0.0067,0.0076
2CM018,CFM International,CFM56-5B4/2,DAC,TF,5.7,27.1,117.9,1.18,0.975,0.335,0.121,16.61,12.58,6.13,4.49,1.6,4.9,43.8,37.1,0.1,0.1,11.4,2.2,0.5,0.5,2.3,3.5,4.75,100.67,101.01,293.0,299.0,0.0114,0.0129
3CM021,CFM International,CFM56-5B4/2P,DAC-II,TF,5.9,27.7,120.1,1.14,0.95,0.34,0.12,18.4,13.6,6.5,3.9,1.4,3.6,29.1,40.1,0.1,0.2,5.3,3.6,0.3,0.3,0.5,2.0,2.0,98.5,99.74,284.6,292.4,0.0081,0.0115
