UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),SN T/O,SN C/O,SN App,SN Idle,SN Max,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg)
01P11CM116,CFM International,CFM56-7B26E,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,21.79,17.08,8.93,4.27,0.2,0.16,3.07,30.94,0.02,0.02,0.05,1.75,13.1,9.8,2.1,2.1,13.07,97.6,98.5,277,293,0.0015,0.00628
01P11CM117,CFM International,CFM56-7B26E/B1,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,21.79,17.08,8.93,4.27,0.2,0.16,3.07,30.94,0.02,0.02,0.05,1.75,13.1,9.8,2.1,2.1,13.07,97.6,98.5,277,293,0.0015,0.00628
01P11CM118,CFM International,CFM56-7B26E/B2,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,21.79,17.08,8.93,4.27,0.2,0.16,3.07,30.94,0.02,0.02,0.05,1.75,13.1,9.8,2.1,2.1,13.07,97.6,98.5,277,293,0.0015,0.00628
01P11CM119,CFM International,CFM56-7B26E/F,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,21.79,17.08,8.93,4.27,0.2,0.16,3.07,30.94,0.02,0.02,0.05,1.75,13.1,9.8,2.1,2.1,13.07,97.6,98.5,277,293,0.0015,0.00628
01P11CM120,CFM International,CFM56-7B26E/B2F,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,21.79,17.08,8.93,4.27,0.2,0.16,3.07,30.94,0.02,0.02,0.05,1.75,13.1,9.8,2.1,2.1,13.07,97.6,98.5,277,293,0.0015,0.00628
01P11CM121,CFM International,CFM56-7B27E,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P11CM122,CFM International,CFM56-7B27E/B1,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P11CM123,CFM International,CFM56-7B27E/B3,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P11CM124,CFM International,CFM56-7B27AE,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P11CM125,CFM International,CFM56-7B27E/F,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P11CM126,CFM International,CFM56-7B27E/B1F,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P20CM127,CFM International,LEAP-1A24/24E1/23,TAPS II,TF,11.3,30,106.8,0.745,0.616,0.219,0.087,17.59,9.41,8.02,4.45,0.24,0.41,3.53,23.79,0.02,0.02,0.05,0.37,1.3,1.17,1.31,1.25,1.56,97.8,98.8,274.6,279.8,0.002,0.0032
01P20CM128,CFM International,LEAP-1A26/26E1,TAPS II,TF,11.1,33.3,120.6,0.861,0.71,0.244,0.091,30.8,13.38,8.75,4.61,0.24,0.26,2.65,21.63,0.02,0.02,0.04,0.29,1.3,1.17,1.31,1.25,1.56,97.8,98.8,274.6,279.8,0.002,0.0032
01P20CM129,CFM International,LEAP-1A26CJ,TAPS II,TF,11.1,33.3,120.6,0.861,0.71,0.244,0.091,30.8,13.38,8.75,4.61,0.24,0.26,2.65,21.63,0.02,0.02,0.04,0.29,1.3,1.17,1.31,1.25,1.56,97.8,98.8,274.6,279.8,0.002,0.0032
01P20CM130,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5,130.3,0.946,0.777,0.261,0.094,49.48,21.03,9.27,4.72,0.27,0.23,2.21,20.3,0.04,0.02,0.04,0.25,1.105,1.17,1.31,1.25,1.56,97.8,98.8,274.6,279.8,0.002,0.0032
01P20CM131,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5,130.3,0.946,0.777,0.261,0.094,49.48,21.03,9.27,4.72,0.27,0.23,2.21,20.3,0.04,0.02,0.04,0.25,1.105,1.17,1.31,1.25,1.56,97.8,98.8,274.6,279.8,0.002,0.0032
01P20CM132,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.5,38.5,143.1,1.062,0.869,0.284,0.098,59.74,32.35,9.95,4.85,0.3,0.24,1.79,18.68,0.05,0.02,0.04,0.21,1.105,1.17,1.31,1.25,1.56,97.8,98.8,274.6,279.8,0.002,0.0032
01P20CM133,CFM International,LEAP-1B21,TAPS II,TF,8.5,36.8,111.3,0.877,0.722,0.245,0.089,30.39,17.53,10.26,4.74,0.15,0.16,1.49,16.19,0.04,0.04,0.05,0.71,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM134,CFM International,LEAP-1B23,TAPS II,TF,8.5,37.9,115.2,0.916,0.752,0.253,0.091,38.19,18.11,10.7,4.63,0.16,0.14,1.36,15.61,0.04,0.04,0.05,0.64,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM135,CFM International,LEAP-1B25,TAPS II,TF,8.4,40.135,119.2,0.96,0.784,0.26,0.091,48.9,20.35,11.1,4.57,0.17,0.14,1.25,15.27,0.04,0.04,0.05,0.59,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM136,CFM International,LEAP-1B27,TAPS II,TF,8.3,40.5,124.7,1.014,0.826,0.273,0.095,55.26,23.26,11.59,4.59,0.17,0.14,1.11,14.4,0.05,0.04,0.05,0.51,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM137,CFM International,LEAP-1B28B2C,TAPS II,TF,8.3,40.5,124.7,1.014,0.826,0.273,0.095,55.26,23.26,11.59,4.59,0.17,0.14,1.11,14.4,0.05,0.04,0.05,0.51,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM138,CFM International,LEAP-1B28BBJ1,TAPS II,TF,8.3,42,130.4,1.075,0.873,0.285,0.097,64.36,29.59,11.92,4.68,0.18,0.15,0.99,13.77,0.05,0.04,0.05,0.46,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM139,CFM International,LEAP-1B28BBJ2,TAPS II,TF,8.3,40.5,124.7,1.014,0.826,0.273,0.095,55.26,23.26,11.59,4.59,0.17,0.14,1.11,14.4,0.05,0.04,0.05,0.51,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
01P20CM140,CFM International,LEAP-1B28/28B1/28B2/28B3,TAPS II,TF,8.3,42,130.4,1.075,0.873,0.285,0.097,64.36,29.59,11.92,4.68,0.18,0.15,0.99,13.77,0.05,0.04,0.05,0.46,0.94,0.85,1.07,0.8,1.16,97.7,98.8,279.3,290.5,0.0009,0.0084
9EA001,Engine Alliance,GP7270,,TF,8.71,36.62,332.39,2.637,2.169,0.711,0.234,41.73,31.37,12.9,5.24,0.11,0.09,1.27,33.58,0.03,0.03,0.07,4.04,4.06,3.87,2.2,3.08,4.06,97.396,97.812,287.74,296.06,0.00503,0.00863
01P11GE202,General Electric Company,CF34-10A16/16-B,SAC,TF,5.7,25.1,76.9,0.765,0.632,0.219,0.083,17.87,15.04,7.97,3.45,0.49,0.34,3.98,52.05,0.06,0.08,0.14,6.96,11.06,5.08,0.11,0.39,11.1,97.2,97.9,296,300,0.0099,0.0127
11GE141,General Electric Company,CF34-10A18,2253M21,TF,5.4,26.5,82.1,0.826,0.684,0.232,0.086,19.47,16.72,8.26,3.58,0.66,0.36,3.43,47.29,0.05,0.08,0.13,5.67,14.73,7.01,0.12,0.35,14.7,97.2,97.9,296,300,0.0099,0.0127
01P08GE203,General Electric Company,CF34-10E2A1,SAC,TF,5.09,25.1,75.44,0.769,0.64,0.222,0.084,17.98,15.26,7.64,3.56,0.41,0.38,4.46,50.81,0.04,0.05,0.1,5.44,3.93,1.68,0.39,0.85,3.93,98.4,98.6,294,295,0.00922,0.01192
10GE129,General Electric Company,CF34-10E5,2253M21,TF,5.09,25.6,77.4,0.789,0.65,0.221,0.084,18.66,15.54,8.08,3.51,0.59,0.35,3.77,49.98,0.047,0.08,0.136,6.391,11.33,5.22,0.11,0.39,11.3,97.2,97.9,296,300,0.0099,0.0127
11GE142,General Electric Company,CF34-10E5,2253M21-PFN,TF,5.09,25.5,77.4,0.792,0.653,0.223,0.085,17.78,14.97,7.59,3.55,0.81,0.75,4.84,46.1,0.07,0.1,0.13,4.94,9.39,5.1,0.11,0.6,9.4,97.2,97.9,292,298,0.0053,0.0078
8GE115,General Electric Company,CF34-10E5,SAC,TF,5.09,25.6,77.4,0.792,0.659,0.227,0.085,18.51,15.62,7.76,3.59,0.43,0.38,4.18,49.4,0.04,0.06,0.09,5.15,4.52,1.89,0.41,0.83,4.52,98.4,98.6,294,295,0.00922,0.01192
10GE130,General Electric Company,CF34-10E5A1,2253M21,TF,5.09,27.3,83.7,0.866,0.714,0.237,0.087,20.83,16.93,8.43,3.67,0.84,0.42,3.15,44.53,0.046,0.068,0.12,4.991,16.01,7.7,0.12,0.34,16,97.2,97.9,296,300,0.0099,0.0127
11GE144,General Electric Company,CF34-10E5A1,2253M21-PFN,TF,5.09,27.2,83.7,0.87,0.717,0.239,0.088,19.68,16.22,7.94,3.69,0.89,0.77,4.02,41.73,0.05,0.09,0.1,4.02,12.74,6.91,0.1,0.5,12.7,97.2,97.9,292,298,0.0053,0.0078
8GE117,General Electric Company,CF34-10E5A1,SAC,TF,5.09,27.3,83.7,0.871,0.72,0.244,0.088,20.45,16.88,8.14,3.72,0.52,0.39,3.37,44.93,0.01,0.05,0.06,4.3,7.01,2.85,0.48,0.76,7.01,98.4,98.6,294,295,0.00922,0.01192
10GE131,General Electric Company,CF34-10E6,2253M21,TF,5.09,25.6,77.4,0.789,0.65,0.221,0.084,18.66,15.54,8.08,3.51,0.59,0.35,3.77,49.98,0.047,0.08,0.136,6.391,11.33,5.22,0.11,0.39,11.3,97.2,97.9,296,300,0.0099,0.0127
11GE143,General Electric Company,CF34-10E6,2253M21-PFN,TF,5.09,25.5,77.4,0.792,0.653,0.223,0.085,17.78,14.97,7.59,3.55,0.81,0.75,4.84,46.1,0.07,0.1,0.13,4.94,9.39,5.1,0.11,0.6,9.4,97.2,97.9,292,298,0.0053,0.0078
8GE116,General Electric Company,CF34-10E6,SAC,TF,5.09,25.6,77.4,0.792,0.659,0.227,0.085,18.51,15.62,7.76,3.59,0.43,0.38,4.18,49.4,0.04,0.06,0.09,5.15,4.52,1.89,0.41,0.83,4.52,98.4,98.6,294,295,0.00922,0.01192
10GE132,General Electric Company,CF34-10E6A1,2253M21,TF,5.09,27.3,83.7,0.866,0.714,0.237,0.087,20.83,16.93,8.43,3.67,0.84,0.42,3.15,44.53,0.046,0.068,0.12,4.991,16.01,7.7,0.12,0.34,16,97.2,97.9,296,300,0.0099,0.0127
11GE145,General Electric Company,CF34-10E6A1,2253M21-PFN,TF,5.09,27.2,83.7,0.87,0.717,0.239,0.088,19.68,16.22,7.94,3.69,0.89,0.77,4.02,41.73,0.05,0.09,0.1,4.02,12.74,6.91,0.1,0.5,12.7,97.2,97.9,292,298,0.0053,0.0078
8GE118,General Electric Company,CF34-10E6A1,SAC,TF,5.09,27.3,83.7,0.871,0.72,0.244,0.088,20.45,16.88,8.14,3.72,0.52,0.39,3.37,44.93,0.01,0.05,0.06,4.3,7.01,2.85,0.48,0.76,7.01,98.4,98.6,294,295,0.00922,0.01192
10GE133,General Electric Company,CF34-10E7,2253M21,TF,5.09,27.3,83.7,0.866,0.714,0.237,0.087,20.83,16.93,8.43,3.67,0.84,0.42,3.15,44.53,0.05,0.07,0.12,4.99,16.01,7.7,0.12,0.34,16,97.2,97.9,296,300,0.0099,0.0127
11GE146,General Electric Company,CF34-10E7,2253M21-PFN,TF,5.09,27.2,83.7,0.87,0.717,0.239,0.088,19.68,16.22,7.94,3.69,0.89,0.77,4.02,41.73,0.05,0.09,0.1,4.02,12.74,6.91,0.1,0.5,12.7,97.2,97.9,292,298,0.0053,0.0078
8GE119,General Electric Company,CF34-10E7,SAC,TF,5.09,27.3,83.7,0.871,0.72,0.244,0.088,20.45,16.88,8.14,3.72,0.52,0.39,3.37,44.93,0.01,0.05,0.06,4.3,7.01,2.85,0.48,0.76,7.01,98.4,98.6,294,295,0.00922,0.01192
11GE147,General Electric Company,CF34-10E7-B,2253M21-PFN,TF,5.09,27.2,83.7,0.87,0.717,0.239,0.088,19.68,16.22,7.94,3.69,0.89,0.77,4.02,41.73,0.05,0.09,0.1,4.02,12.74,6.91,0.1,0.5,12.7,97.2,97.9,292,298,0.0053,0.0078
1GE034,General Electric Company,CF34-3A,LEC II,TF,6.25,19.7,41.01,0.407,0.3343,0.119,0.0496,11.61,10.14,6.86,3.82,0,0,1.9,42.6,0.06,0.06,0.13,3.95,21.9,9.2,3.1,3.1,21.9,101.6,102.9,275.5,281.1,0.0016,0.0039
1GE035,General Electric Company,CF34-3A1,LEC II,TF,6.25,19.7,41.01,0.407,0.3343,0.119,0.0496,11.61,10.14,6.86,3.82,0,0,1.9,42.6,0.06,0.06,0.13,3.95,21.9,9.2,3.1,3.1,21.9,101.6,102.9,275.5,281.1,0.0016,0.0039
01P05GE189,General Electric Company,CF34-3B/-3B1,SAC,TF,6.25,19.3,41.01,0.3991,0.3288,0.116,0.0489,11.28,9.68,6.63,3.72,0,0,1.88,47.59,0.06,0.05,0.13,4.69,18.3,9.2,3.1,3.1,18.3,101.6,102.9,275.5,281.1,0.0016,0.0039
5GE083,General Electric Company,CF34-8C1,,TF,5.13,23.03,56.36,0.6042,0.4941,0.1681,0.069,14.67,12.82,11.1,4.31,0.41,0.5,2.91,24.92,0.02,0.02,0.06,0.08,5.33,1.48,0,0,5.33,96.87,97.62,287,296.4,0.0056,0.00656
6GE096,General Electric Company,CF34-8C1 Block 1,LEC,TF,5.13,22.15,56.36,0.608,0.479,0.1702,0.0703,13.82,12,9.85,4.03,0.59,0.57,4.67,19.73,0.02,0.03,0.07,0.13,5.2,1.25,0,0,5.2,97.1,98.1,284,292,0.0047,0.00727
01P08GE190,General Electric Company,CF34-8C5,LEC,TF,5.13,23.09,59.42,0.648,0.53,0.179,0.064,14.69,12.6,10.75,4.6,0.64,0.57,4.24,18.25,0.02,0.02,0.06,0.13,8.32,2.12,0,0,8.32,97.1,98.1,284,292,0.0047,0.00727
01P08GE191,General Electric Company,CF34-8C5A1,LEC,TF,5.13,23.49,60.62,0.665,0.543,0.183,0.065,15.09,12.82,10.87,4.65,0.66,0.57,4.17,17.85,0.02,0.02,0.06,0.13,9.96,2.66,0,0,9.96,97.1,98.1,284,292,0.0047,0.00727
01P08GE192,General Electric Company,CF34-8C5B1,LEC,TF,5.13,22.08,56.35,0.606,0.497,0.171,0.063,13.89,12.03,10.42,4.5,0.6,0.58,4.44,19.52,0.02,0.03,0.07,0.16,5.18,1.11,0,0,5.18,97.1,98.1,284,292,0.0047,0.00727
01P08GE193,General Electric Company,CF34-8C5A2,LEC,TF,5.13,24.12,62.49,0.691,0.563,0.188,0.066,15.81,13.15,11.06,4.7,0.71,0.57,4.05,17.3,0.02,0.02,0.06,0.13,13.64,3.49,0,0,13.64,97.1,98.1,284,292,0.0047,0.00727
01P08GE194,General Electric Company,CF34-8C5A3,LEC,TF,5.13,24.82,64.53,0.721,0.586,0.193,0.067,16.71,13.52,11.09,4.76,0.77,0.57,3.92,16.71,0.02,0.02,0.06,0.12,17.27,4.4,0,0,17.27,97.1,98.1,284,292,0.0047,0.00727
01P08GE195,General Electric Company,CF34-8E2,LEC,TF,5.13,21.71,55.19,0.591,0.485,0.168,0.062,13.6,11.82,10.29,4.45,0.59,0.58,4.52,20.01,0.02,0.03,0.07,0.16,4.58,0.87,0,0,4.58,97.1,98.1,284,292,0.0047,0.00727
01P08GE196,General Electric Company,CF34-8E2A1,LEC,TF,5.13,23,59.15,0.644,0.527,0.179,0.064,14.61,12.55,10.72,4.59,0.64,0.57,4.26,18.36,0.02,0.02,0.06,0.14,8.01,2,0,0,8.01,97.1,98.1,284,292,0.0047,0.00727
01P08GE197,General Electric Company,CF34-8E5,LEC,TF,5.13,23.18,59.68,0.652,0.533,0.18,0.064,14.77,12.65,10.77,4.61,0.64,0.57,4.23,18.16,0.02,0.02,0.06,0.13,8.63,2.24,0,0,8.63,97.1,98.1,284,292,0.0047,0.00727
01P08GE198,General Electric Company,CF34-8E5A1,LEC,TF,5.13,24.12,62.49,0.691,0.563,0.188,0.066,15.81,13.15,11.06,4.7,0.71,0.57,4.05,17.3,0.02,0.02,0.06,0.13,13.64,3.49,0,0,13.64,97.1,98.1,284,292,0.0047,0.00727
01P08GE199,General Electric Company,CF34-8E5A2,LEC,TF,5.13,24.82,64.53,0.721,0.586,0.193,0.067,16.71,13.52,11.09,4.76,0.77,0.57,3.92,16.71,0.02,0.02,0.06,0.12,17.27,4.4,0,0,17.27,97.1,98.1,284,292,0.0047,0.00727
01P08GE200,General Electric Company,CF34-8E6,LEC,TF,5.13,23.18,59.68,0.652,0.533,0.18,0.064,14.77,12.65,10.77,4.61,0.64,0.57,4.23,18.16,0.02,0.02,0.06,0.13,8.63,2.24,0,0,8.63,97.1,98.1,284,292,0.0047,0.00727
01P08GE201,General Electric Company,CF34-8E6A1,LEC,TF,5.13,24.12,62.49,0.691,0.563,0.188,0.066,15.81,13.15,11.06,4.7,0.71,0.57,4.05,17.3,0.02,0.02,0.06,0.13,13.64,3.49,0,0,13.64,97.1,98.1,284,292,0.0047,0.00727
3GE067,General Electric Company,CF6-45A,Low emissions fuel nozzle,TF,4.3,25.38,202.8,2.027,1.663,0.592,0.163,25.45,21.61,9.36,3.4,0.43,0.54,5.01,24.04,0.09,0.14,0.35,2.72,11.61,11.98,1.25,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
1GE005,General Electric Company,CF6-45A2,,TF,4.3,25.9,202.8,2.058,1.716,0.583,0.2,31,26.2,8.4,3.3,0.5,0.5,7.5,66,0.7,0.7,1.1,26,2.9,2.2,2.9,4.6,4.6,98.3,100.4,270,296,0.0027,0.0103
3GE068,General Electric Company,CF6-45A2,Low emissions fuel nozzle,TF,4.3,25.38,202.8,2.027,1.663,0.592,0.163,25.45,21.61,9.36,3.4,0.43,0.54,5.01,24.04,0.09,0.14,0.35,2.72,11.61,11.98,1.25,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE069,General Electric Company,CF6-50A,Low emissions fuel nozzle,TF,4.3,26.88,215.3,2.168,1.787,0.625,0.163,27.17,23.27,9.72,3.4,0.43,0.49,4.35,24.04,0.15,0.14,0.31,2.72,11.53,12.03,1.49,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
1GE006,General Electric Company,CF6-50C,,TF,4.3,28.8,224.2,2.379,1.915,0.643,0.212,35,29,9.4,3.5,0.5,0.5,5.2,62.3,0.6,0.7,1,23,3.9,2.6,2.8,4.5,4.5,98.3,100.4,270,296,0.0027,0.0103
3GE070,General Electric Company,CF6-50C,Low emissions fuel nozzle,TF,4.3,27.76,224.2,2.281,1.875,0.641,0.163,28.03,24.3,10.09,3.4,0.44,0.46,3.99,24.04,0.14,0.14,0.29,2.72,11.41,11.83,1.61,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE073,General Electric Company,CF6-50C1,Low emissions fuel nozzle,TF,4.3,28.44,230.4,2.361,1.94,0.663,0.163,28.97,25.5,10.16,3.4,0.45,0.45,3.71,24.04,0.14,0.15,0.28,2.72,10.95,11.72,1.62,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
1GE007,General Electric Company,"CF6-50C1, -C2",,TF,4.3,29.8,230.4,2.487,1.975,0.66,0.215,36.3,29.7,9.5,3.6,0.5,0.5,4.3,61.8,0.6,0.7,1,21.8,4.1,2.7,2.7,4.5,4.5,98.3,100.4,270,296,0.0027,0.0103
3GE074,General Electric Company,CF6-50C2,Low emissions fuel nozzle,TF,4.3,28.44,230.4,2.361,1.94,0.663,0.163,28.97,25.5,10.16,3.4,0.45,0.45,3.71,24.04,0.14,0.15,0.28,2.72,10.95,11.72,1.62,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE078,General Electric Company,CF6-50C2B,Low emissions fuel nozzle,TF,4.3,29.06,236.7,2.41,1.997,0.667,0.163,29.59,26.34,10.49,3.4,0.46,0.44,3.42,24.04,0.13,0.15,0.26,2.72,11.17,11.62,1.58,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
1GE008,General Electric Company,CF6-50C2R,,TF,4.3,28.8,224.2,2.379,1.915,0.643,0.212,35,29,9.4,3.5,0.5,0.5,5.2,62.3,0.6,0.7,1,23,3.9,2.6,2.8,4.5,4.5,98.3,100.4,270,296,0.0027,0.0103
3GE072,General Electric Company,CF6-50C2R,Low emissions fuel nozzle,TF,4.3,27.76,224.2,2.281,1.875,0.641,0.163,28.03,24.3,10.09,3.4,0.44,0.46,3.99,24.04,0.14,0.14,0.29,2.72,11.41,11.83,1.61,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE071,General Electric Company,CF6-50CA,Low emissions fuel nozzle,TF,4.3,27.76,224.2,2.281,1.875,0.641,0.163,28.03,24.3,10.09,3.4,0.44,0.46,3.99,24.04,0.14,0.14,0.29,2.72,11.41,11.83,1.61,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE075,General Electric Company,CF6-50E,Low emissions fuel nozzle,TF,4.3,28.44,230.4,2.361,1.94,0.663,0.163,28.97,25.5,10.16,3.4,0.45,0.45,3.71,24.04,0.14,0.15,0.28,2.72,10.95,11.72,1.62,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE076,General Electric Company,CF6-50E1,Low emissions fuel nozzle,TF,4.3,28.44,230.4,2.361,1.94,0.663,0.163,28.97,25.5,10.16,3.4,0.45,0.45,3.71,24.04,0.14,0.15,0.28,2.72,10.95,11.72,1.62,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
1GE009,General Electric Company,CF6-50E2,,TF,4.3,29.8,230.4,2.487,1.975,0.66,0.215,36.3,29.7,9.5,3.6,0.5,0.5,4.3,61.8,0.6,0.7,1,21.8,4.1,2.7,2.7,4.5,4.5,98.3,100.4,270,296,0.0027,0.0103
3GE077,General Electric Company,CF6-50E2,Low emissions fuel nozzle,TF,4.3,28.44,230.4,2.361,1.94,0.663,0.163,28.97,25.5,10.16,3.4,0.45,0.45,3.71,24.04,0.14,0.15,0.28,2.72,10.95,11.72,1.62,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
3GE079,General Electric Company,CF6-50E2B,Low emissions fuel nozzle,TF,4.3,29.06,236.7,2.41,1.997,0.667,0.163,29.59,26.34,10.49,3.4,0.46,0.44,3.42,24.04,0.13,0.15,0.26,2.72,11.17,11.62,1.58,1.4,12.52,97.73,97.91,292.3,301.3,0.0127,0.0216
1GE001,General Electric Company,CF6-6D,,TF,5.9,24.7,174.8,1.736,1.431,0.4839,0.1728,40,32.6,11.4,4.5,0.5,0.5,6.5,54.2,0.3,0.3,0.7,21,4,3,3,4,4,99.15,100.46,280,301,0.003,0.015
1GE002,General Electric Company,CF6-6D1A,,TF,5.9,25.4,181.9,1.812,1.502,0.494,0.176,41.6,33.9,11.8,4.6,0.5,0.5,5.5,52,0.3,0.3,0.6,19.9,4,3,3,4,,99.15,100.46,280,301,0.003,0.015
1GE003,General Electric Company,CF6-6K,,TF,5.9,24.7,174.8,1.736,1.431,0.4839,0.1728,40,32.6,11.4,4.5,0.5,0.5,6.5,54.2,0.3,0.3,0.7,21,4,3,3,4,4,99.15,100.46,280,301,0.003,0.015
1GE004,General Electric Company,CF6-6K2,,TF,5.9,25.4,181.9,1.812,1.502,0.494,0.176,41.6,33.9,11.8,4.6,0.5,0.5,5.5,52,0.3,0.3,0.6,19.9,4,3,3,4,,99.15,100.46,280,301,0.003,0.015
1GE010,General Electric Company,CF6-80A,,TF,5,29,208.8,2.145,1.795,0.615,0.15,29.8,25.6,10.3,3.4,1,1.1,3.1,28.2,0.29,0.29,0.47,6.29,12,10,2,2,12,99.08,99.78,275,277,0.002,0.002
1GE011,General Electric Company,CF6-80A1,,TF,5,29,209,2.145,1.795,0.615,0.15,29.8,25.6,10.3,3.4,1,1.1,3.1,28.2,0.29,0.29,0.47,6.29,12,10,2,2,12,99.08,99.78,275,277,0.002,0.002
1GE012,General Electric Company,CF6-80A2,,TF,5,30.1,216.5,2.254,1.885,0.641,0.15,29.6,26.6,10.8,3.4,1,1.1,2.8,28.2,0.3,0.37,0.45,6.28,12,10,2,2,12,99.08,99.78,275,277,0.002,0.002
1GE013,General Electric Company,CF6-80A3,,TF,5,30.1,217.8,2.254,1.885,0.641,0.15,29.6,26.6,10.8,3.4,1,1.1,2.8,28.2,0.3,0.37,0.45,6.28,12,10,2,2,12,99.08,99.78,275,277,0.002,0.002
1GE014,General Electric Company,CF6-80C2A1,,TF,5.1,30.96,257.4,2.4,1.953,0.636,0.199,32.22,24.85,9.76,3.99,0.56,0.54,2.19,42.24,0.08,0.09,0.2,9.19,8.2,4.9,2.3,3,8.2,97.4,97.82,287,296,0.0084,0.014
2GE036,General Electric Company,CF6-80C2A1,1862M39,TF,5.1,30.53,257.4,2.453,1.989,0.651,0.201,26.55,20.45,12.43,4.68,0.05,0.04,2.05,19.76,0.05,0.05,0.12,1.59,7,4.7,0,0,7,97.61,98.15,279,293,0.00457,0.00743
1GE016,General Electric Company,CF6-80C2A2,,TF,5.1,28,233.35,2.117,1.745,0.58,0.189,27.93,20.69,9.44,3.95,0.57,0.55,2.94,46.01,0.08,0.1,0.23,10.48,6.5,4,2.3,3.1,6.5,97.4,97.82,287,296,0.0084,0.014
2GE037,General Electric Company,CF6-80C2A2,1862M39,TF,5.1,27.79,233.35,2.152,1.771,0.59,0.192,22.35,18.37,11.86,4.49,0.04,0.05,2.56,21.97,0.05,0.05,0.12,1.9,5.8,3.2,0,0,5.8,97.61,98.15,279,293,0.00457,0.00743
