ICAO,Manufacturer,Type,Year_of_first_flight,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_do,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,FL_max,MMO,pi_max_pa,pinf_co_pa
light-high-6,N/A,N/A,1992.9093739703676,2,no,N/A,79430.21973717227,68258.44344393256,64291.38376860906,43228.46590086975,21062.917867739303,0.809968161599059,0.5453362843280628,0.2644854582337697,122.39999999999999,34.23219188641029,3.9201209198272076,0.02644495934521545,0.9062999999999999,9.575627032808445,8.305858522658955,1.0006442897253363,0.7539431753771165,0.8696533558467696,0.07354183040922635,0.5890751612774497,5.1880824253334845,240.79323298034842,2.2595780199099877,0.22385008612517068,0.753,0.03388091222693025,0.3430945923072899,0.5086190178711475,0.708376851011705,5.712195540335939,403.44762589401637,0.82,20883.0,37618.0
medium-low-6,N/A,N/A,2011.16377184916,2,no,N/A,280230.2645310743,214466.7131371444,202249.43850092957,137944.39124127888,64305.04725965067,0.7179513518746864,0.4993226983756476,0.21860438969994042,404.1317940478805,61.666990950236546,5.906389298752738,0.017999999999999995,0.8363351301724046,9.625518433822247,6.4057413836303905,0.9736778310720654,0.7742360702988683,0.8728131653441744,0.077,0.4992252929043454,7.766635156047102,740.1445548780076,5.764679470110305,0.5289558314287502,0.8178025198373852,0.023595134051406952,0.4017239147567835,0.44936998848128584,0.7611489525644181,6.006879344728166,428.64637745977416,0.9000000000000001,24976.999999999996,36141.0
medium-nominal-6,N/A,N/A,1998.208028172697,2,no,N/A,286788.66797905153,211984.9567782881,199447.69089171692,140588.98012648989,58852.075604111844,0.7018885107779719,0.49400679594120567,0.20770091121312423,397.50189275404716,62.54193807567696,5.901287483914932,0.017463433169766316,0.8573431224986884,9.874034297940316,6.795999205473623,0.9861459661241103,0.7696513902405256,0.8724020635344976,0.07647917807125727,0.5274325426418383,7.241895672466545,792.197480897112,7.095190660036809,0.6051287639627992,0.802487202409412,0.02516648741492343,0.3844582511007291,0.4959673288057751,0.7225059826302012,5.454645584454344,422.46597733590505,0.8788812397047318,23862.047442157644,36521.77478867979
super-nominal-6,N/A,N/A,1994.9597355011022,4,no,N/A,482600.5119076339,338170.13625969907,305796.06399848347,226684.23917840354,79111.82482007996,0.6314536958262674,0.4664335635768185,0.16502013224944898,695.4000589664213,72.08907686484642,6.8197075095853785,0.01800805289977958,0.8295538398690007,7.565100661247245,6.411119353069361,0.9981248199465835,0.7458067304052901,0.8724859074253857,0.07798389420044086,0.45553825127395303,6.758113035429021,1185.3368437031515,10.178429684542984,0.9444966937637762,0.8149798677505511,0.023055838352340197,0.3774174577772594,0.503634886071308,0.7153731668284716,5.484006907304554,440.538251273953,0.9050603967483469,25258.779543435237,36052.43097755426
light-low-5,N/A,N/A,2014.3141090629879,2,yes,N/A,81277.29070666223,68027.59984643341,64401.95622123825,44291.03993857336,20110.91628266489,0.7928012365590847,0.5458748732717361,0.24676930875585473,122.39999999999999,35.12669927035397,3.6465396313378204,0.021628218125975786,0.9063,10.084134907834455,7.610155483872949,0.9566282181259758,0.7858429454685061,0.872842945468506,0.07584294546850605,0.5998846543779274,6.416715791088019,255.8,1.7700000000000002,0.18,0.753,0.03050417089094213,0.3634454185866755,0.385,0.7869999999999999,6.340029343318574,407.015963901615,0.82,20882.999999999996,37618.0
light-nominal-5,N/A,N/A,1993.7369470146698,2,no,N/A,84447.44097676154,71482.1566453522,66763.84034103448,45239.77566529877,21524.06467573572,0.7922005664198453,0.5357902801034155,0.25628218722677387,136.74122205048903,35.24875937215032,3.9040244441623058,0.024686588643195805,0.9028263979069118,9.296485939318869,8.008114136045778,1.0024798433489148,0.7523360402061059,0.8702021180529647,0.07426505527675625,0.5707066389032321,5.107766485691707,253.6754509787533,2.5499379225045455,0.23804410085010033,0.75784082877625,0.03265738400932274,0.3373827565968068,0.5303120483768798,0.6913137235560121,5.7143600850911085,410.6275652054559,0.8241974113973618,21092.031087588617,37538.98373044466
light-high-5,N/A,N/A,1992.9093739703676,2,no,N/A,79430.21973717227,68258.44344393256,64291.38376860906,43228.46590086975,21062.917867739303,0.809968161599059,0.5453362843280628,0.2644854582337697,122.39999999999999,34.23219188641029,3.9201209198272076,0.02644495934521545,0.9062999999999999,9.575627032808445,8.305858522658955,1.0006442897253363,0.7539431753771165,0.8696533558467696,0.07354183040922635,0.5890751612774497,5.1880824253334845,240.79323298034842,2.2595780199099877,0.22385008612517068,0.753,0.03388091222693025,0.3430945923072899,0.5086190178711475,0.708376851011705,5.712195540335939,403.44762589401637,0.82,20883.0,37618.0
medium-low-5,N/A,N/A,2011.16377184916,2,no,N/A,280230.2645310743,214466.7131371444,202249.43850092957,137944.39124127888,64305.04725965067,0.7179513518746864,0.4993226983756476,0.21860438969994042,404.1317940478805,61.666990950236546,5.906389298752738,0.017999999999999995,0.8363351301724046,9.625518433822247,6.4057413836303905,0.9736778310720654,0.7742360702988683,0.8728131653441744,0.077,0.4992252929043454,7.766635156047102,740.1445548780076,5.764679470110305,0.5289558314287502,0.8178025198373852,0.023595134051406952,0.4017239147567835,0.44936998848128584,0.7611489525644181,6.006879344728166,428.64637745977416,0.9000000000000001,24976.999999999996,36141.0
medium-nominal-5,N/A,N/A,1997.7276738609326,2,no,N/A,315745.1300454465,230645.09648019183,215174.38326080606,153320.66199422439,61848.06730653829,0.6914726799151234,0.4899292935747069,0.20138931977804933,441.5547793236839,63.95375952960301,6.037102530138813,0.017543970997490825,0.8532336708323612,9.532591472402594,6.7390835530663615,0.987917387195227,0.7661252654967284,0.8724144622862651,0.07670169400615286,0.5168008858481675,7.170354373959254,850.334541544229,7.551137001501752,0.6553141582100294,0.8043346054203899,0.024854366716348858,0.38341706553862004,0.49710119960054827,0.7214511888749024,5.458987507875693,425.1384873549182,0.8827525875897968,24068.594805668046,36452.36868948636
light-low-4,N/A,N/A,2014.3141090629879,2,yes,N/A,81277.29070666223,68027.59984643341,64401.95622123825,44291.03993857336,20110.91628266489,0.7928012365590847,0.5458748732717361,0.24676930875585473,122.39999999999999,35.12669927035397,3.6465396313378204,0.021628218125975786,0.9063,10.084134907834455,7.610155483872949,0.9566282181259758,0.7858429454685061,0.872842945468506,0.07584294546850605,0.5998846543779274,6.416715791088019,255.8,1.7700000000000002,0.18,0.753,0.03050417089094213,0.3634454185866755,0.385,0.7869999999999999,6.340029343318574,407.015963901615,0.82,20882.999999999996,37618.0
light-nominal-4,N/A,N/A,1993.53759402215,2,no,N/A,83238.84908855177,70705.60057196095,66168.25349830062,44755.27387638323,21412.979621917377,0.7964805792757964,0.5380898046250148,0.2582582624928216,133.2865837538021,35.003879754845705,3.9079019032155085,0.025110160270884405,0.9036631493898739,9.363727873677961,8.079837393449937,1.002037679227802,0.7527231809037521,0.8700699274400154,0.07409083858059959,0.5751314083283283,5.127113687760264,250.57227026745252,2.47999350383548,0.23462492313429276,0.7566747278387385,0.032952118127708416,0.3387586732599997,0.5250864425189923,0.6954240380997908,5.713838670724901,408.8979989784033,0.8231863024340372,21041.677861215056,37558.017856679246
medium-low-4,N/A,N/A,2011.16377184916,2,no,N/A,280230.2645310743,214466.7131371444,202249.43850092957,137944.39124127888,64305.04725965067,0.7179513518746864,0.4993226983756476,0.21860438969994042,404.1317940478805,61.666990950236546,5.906389298752738,0.017999999999999995,0.8363351301724046,9.625518433822247,6.4057413836303905,0.9736778310720654,0.7742360702988683,0.8728131653441744,0.077,0.4992252929043454,7.766635156047102,740.1445548780076,5.764679470110305,0.5289558314287502,0.8178025198373852,0.023595134051406952,0.4017239147567835,0.44936998848128584,0.7611489525644181,6.006879344728166,428.64637745977416,0.9000000000000001,24976.999999999996,36141.0
medium-nominal-4,N/A,N/A,1997.7276738609326,2,no,N/A,315745.1300454465,230645.09648019183,215174.38326080606,153320.66199422439,61848.06730653829,0.6914726799151234,0.4899292935747069,0.20138931977804933,441.5547793236839,63.95375952960301,6.037102530138813,0.017543970997490825,0.8532336708323612,9.532591472402594,6.7390835530663615,0.987917387195227,0.7661252654967284,0.8724144622862651,0.07670169400615286,0.5168008858481675,7.170354373959254,850.334541544229,7.551137001501752,0.6553141582100294,0.8043346054203899,0.024854366716348858,0.38341706553862004,0.49710119960054827,0.7214511888749024,5.458987507875693,425.1384873549182,0.8827525875897968,24068.594805668046,36452.36868948636
light-low-3,N/A,N/A,2012.07306975603,2,no,N/A,222805.45239666782,172199.2445580127,162461.81622543433,110912.746521749,51549.06970368532,0.739555656066073,0.5127592901815847,0.22673377401863914,322.81410859439615,54.00653112190198,5.254117356751844,0.019047231113271473,0.8565294475963994,9.757891247134094,6.753377571765484,0.9687567142796237,0.777586221911441,0.8728217609334348,0.07666603344587881,0.5282791180926599,7.377001040812476,600.3457142899836,4.611674748950879,0.42823492900742244,0.7990982378356383,0.025589324612690832,0.39067539706387366,0.4307905502121496,0.7686104723091599,6.103038128956828,422.40308080986813,0.8769091917429346,23795.327887444662,36567.31404744609
light-nominal-3,N/A,N/A,1995.1849304188245,2,no,N/A,168370.8033347698,129232.36213814699,120612.6782665449,84455.52150296509,36155.10529761236,0.7556527610667975,0.5191502167891572,0.23636502322777947,247.3388623540869,45.66399585549112,4.677984122999277,0.022094982599578147,0.8848323210038636,9.382153765432912,7.54766287132454,0.9971960452723782,0.7573392815067898,0.8710048384238405,0.07514915799237823,0.5511476365412238,5.856149711824649,470.1654525146374,4.364558052179005,0.3894451216124186,0.7747104917651431,0.029826160531038926,0.35408570769752895,0.5182619232446508,0.702248711418161,5.621701462256431,415.89266483788913,0.8454433965575313,22172.038572747286,37144.71957591209
light-high-3,N/A,N/A,1992.9093739703676,2,no,N/A,79430.21973717227,68258.44344393256,64291.38376860906,43228.46590086975,21062.917867739303,0.809968161599059,0.5453362843280628,0.2644854582337697,122.39999999999999,34.23219188641029,3.9201209198272076,0.02644495934521545,0.9062999999999999,9.575627032808445,8.305858522658955,1.0006442897253363,0.7539431753771165,0.8696533558467696,0.07354183040922635,0.5890751612774497,5.1880824253334845,240.79323298034842,2.2595780199099877,0.22385008612517068,0.753,0.03388091222693025,0.3430945923072899,0.5086190178711475,0.708376851011705,5.712195540335939,403.44762589401637,0.82,20883.0,37618.0
light-low-2,N/A,N/A,2012.07306975603,2,no,N/A,222805.45239666782,172199.2445580127,162461.81622543433,110912.746521749,51549.06970368532,0.739555656066073,0.5127592901815847,0.22673377401863914,322.81410859439615,54.00653112190198,5.254117356751844,0.019047231113271473,0.8565294475963994,9.757891247134094,6.753377571765484,0.9687567142796237,0.777586221911441,0.8728217609334348,0.07666603344587881,0.5282791180926599,7.377001040812476,600.3457142899836,4.611674748950879,0.42823492900742244,0.7990982378356383,0.025589324612690832,0.39067539706387366,0.4307905502121496,0.7686104723091599,6.103038128956828,422.40308080986813,0.8769091917429346,23795.327887444662,36567.31404744609
light-nominal-2,N/A,N/A,1994.8022152292988,2,no,N/A,153412.30281896095,118977.44410921991,111140.26332703745,77521.73596272853,33616.820924801716,0.7647878140877463,0.523554328938454,0.2410944675885789,226.32597980517292,43.741334246457775,4.550522657636594,0.022826584830656034,0.8884428694660796,9.414693128823263,7.6751802495877985,0.9977759893692322,0.7567681063105226,0.870777538894104,0.07487882908841652,0.5575264894268429,5.743790601446121,431.58841236680826,4.010531311800005,0.36159446757400393,0.7710591057596644,0.030508110242645107,0.3522371634381606,0.5166401281184115,0.7032793745368754,5.636921237738841,413.79959198035704,0.8411641907649119,21955.241207861778,37224.31839550014
light-low-1,N/A,N/A,1996.1454269995857,2,no,N/A,158809.2387462344,123116.68045609623,115131.71110490002,80118.66585610577,35011.47152476028,0.762825425278786,0.5227147628882343,0.23997758871019076,233.8301823379434,44.539692732198255,4.605243556356462,0.022532651928296753,0.8859608565570413,9.44138478738259,7.603488590972056,0.9955190638763326,0.7583872003667581,0.8709365248377386,0.07501782591252476,0.555251824130739,5.87081080661989,444.71322873962663,4.057284235296741,0.3667773177934966,0.7732398022720911,0.030125559932615877,0.35522663264798865,0.5099633210536922,0.7083603911917056,5.673172697887749,414.4687139073261,0.8439441983185783,22098.350865958757,37173.22098326325
